,circulating_supply,id,last_updated,max_supply,name,quotes,rank,symbol,total_supply,website_slug,BTC.market_cap,BTC.percent_change_1h,BTC.percent_change_24h,BTC.percent_change_7d,BTC.price,BTC.volume_24h,USD.market_cap,USD.percent_change_1h,USD.percent_change_24h,USD.percent_change_7d,USD.price,USD.volume_24h
0,17176075.0,1,1532781739,21000000.0,Bitcoin,"{'USD': {'price': 8192.98, 'volume_24h': 6267870000.0, 'market_cap': 140723238954.0, 'percent_change_1h': -0.07, 'percent_change_24h': 3.62, 'percent_change_7d': 11.31}, 'BTC': {'price': 1.0, 'volume_24h': 765029.3299873795, 'market_cap': 17176075.0, 'percent_change_1h': 0, 'percent_change_24h': 0, 'percent_change_7d': 0}}",1,BTC,17176075.0,bitcoin,17176075.0,0.0,0.0,0.0,1.0,765029.3299873795,140723238954.0,-0.07,3.62,11.31,8192.98,6267870000.0
1,57604457.0,2,1532781726,84000000.0,Litecoin,"{'USD': {'price': 84.1474, 'volume_24h': 486084000.0, 'market_cap': 4847265289.0, 'percent_change_1h': 0.05, 'percent_change_24h': 1.85, 'percent_change_7d': 0.72}, 'BTC': {'price': 0.0102706707, 'volume_24h': 59329.3282785995, 'market_cap': 591636.0, 'percent_change_1h': 0.12, 'percent_change_24h': -1.71, 'percent_change_7d': -9.51}}",7,LTC,57604457.0,litecoin,591636.0,0.12,-1.71,-9.51,0.0102706707,59329.3282785995,4847265289.0,0.05,1.85,0.72,84.1474,486084000.0
2,14736400.0,3,1532781726,,Namecoin,"{'USD': {'price': 1.57672, 'volume_24h': 375886.0, 'market_cap': 23235177.0, 'percent_change_1h': 1.34, 'percent_change_24h': -21.63, 'percent_change_7d': 21.02}, 'BTC': {'price': 0.0001924477, 'volume_24h': 45.8790330258, 'market_cap': 2836.0, 'percent_change_1h': 1.41, 'percent_change_24h': -24.37, 'percent_change_7d': 8.72}}",270,NMC,14736400.0,namecoin,2836.0,1.41,-24.37,8.72,0.0001924477,45.8790330258,23235177.0,1.34,-21.63,21.02,1.57672,375886.0
3,22935396.0,4,1532781745,42000000.0,Terracoin,"{'USD': {'price': 0.0957387, 'volume_24h': 4511.94, 'market_cap': 2195805.0, 'percent_change_1h': -0.74, 'percent_change_24h': 6.43, 'percent_change_7d': 12.5}, 'BTC': {'price': 1.16855e-05, 'volume_24h': 0.5507080452, 'market_cap': 268.0, 'percent_change_1h': -0.67, 'percent_change_24h': 2.71, 'percent_change_7d': 1.07}}",761,TRC,22935396.0,terracoin,268.0,-0.67,2.71,1.07,1.16855e-05,0.5507080452,2195805.0,-0.74,6.43,12.5,0.0957387,4511.94
4,24868568.0,5,1532781726,,Peercoin,"{'USD': {'price': 1.89497, 'volume_24h': 635833.0, 'market_cap': 47125190.0, 'percent_change_1h': -1.17, 'percent_change_24h': -18.01, 'percent_change_7d': 29.34}, 'BTC': {'price': 0.0002312919, 'volume_24h': 77.6070489614, 'market_cap': 5752.0, 'percent_change_1h': -1.1, 'percent_change_24h': -20.88, 'percent_change_7d': 16.2}}",158,PPC,24868568.0,peercoin,5752.0,-1.1,-20.88,16.2,0.0002312919,77.6070489614,47125190.0,-1.17,-18.01,29.34,1.89497,635833.0
5,2136817.0,6,1532781726,,Novacoin,"{'USD': {'price': 4.83945, 'volume_24h': 43352.6, 'market_cap': 10341017.0, 'percent_change_1h': 0.03, 'percent_change_24h': -12.62, 'percent_change_7d': 60.39}, 'BTC': {'price': 0.0005906825, 'volume_24h': 5.2914324214, 'market_cap': 1262.0, 'percent_change_1h': 0.1, 'percent_change_24h': -15.67, 'percent_change_7d': 44.09}}",429,NVC,2136817.0,novacoin,1262.0,0.1,-15.67,44.09,0.0005906825,5.2914324214,10341017.0,0.03,-12.62,60.39,4.83945,43352.6
6,207888920.0,8,1532781731,336000000.0,Feathercoin,"{'USD': {'price': 0.0858781, 'volume_24h': 124064.0, 'market_cap': 17853105.0, 'percent_change_1h': -0.01, 'percent_change_24h': 3.26, 'percent_change_7d': -5.91}, 'BTC': {'price': 1.04819e-05, 'volume_24h': 15.142719743, 'market_cap': 2179.0, 'percent_change_1h': 0.06, 'percent_change_24h': -0.35, 'percent_change_7d': -15.47}}",321,FTC,207888920.0,feathercoin,2179.0,0.06,-0.35,-15.47,1.04819e-05,15.142719743,17853105.0,-0.01,3.26,-5.91,0.0858781,124064.0
7,4684203.0,9,1532781727,,Mincoin,"{'USD': {'price': 0.0219557, 'volume_24h': 721.391, 'market_cap': 102845.0, 'percent_change_1h': 0.79, 'percent_change_24h': 0.72, 'percent_change_7d': 5.35}, 'BTC': {'price': 2.6798e-06, 'volume_24h': 0.0880498915, 'market_cap': 13.0, 'percent_change_1h': 0.86, 'percent_change_24h': -2.8, 'percent_change_7d': -5.36}}",1014,MNC,4684203.0,mincoin,13.0,0.86,-2.8,-5.36,2.6798e-06,0.0880498915,102845.0,0.79,0.72,5.35,0.0219557,721.391
8,31185251.0,10,1532730126,,Freicoin,"{'USD': {'price': 0.0061785, 'volume_24h': None, 'market_cap': 192678.0, 'percent_change_1h': None, 'percent_change_24h': 4.31, 'percent_change_7d': -2.85}, 'BTC': {'price': 7.541e-07, 'volume_24h': None, 'market_cap': 24.0, 'percent_change_1h': None, 'percent_change_24h': 0.67, 'percent_change_7d': -12.72}}",1208,FRC,100000000.0,freicoin,24.0,,0.67,-12.72,7.541e-07,,192678.0,,4.31,-2.85,0.0061785,
9,21009204.0,13,1532781726,,Ixcoin,"{'USD': {'price': 0.0806658, 'volume_24h': 1074.4, 'market_cap': 1694724.0, 'percent_change_1h': -0.02, 'percent_change_24h': 16.64, 'percent_change_7d': 40.09}, 'BTC': {'price': 9.8457e-06, 'volume_24h': 0.131136656, 'market_cap': 207.0, 'percent_change_1h': 0.05, 'percent_change_24h': 12.56, 'percent_change_7d': 25.85}}",801,IXC,21009204.0,ixcoin,207.0,0.05,12.56,25.85,9.8457e-06,0.131136656,1694724.0,-0.02,16.64,40.09,0.0806658,1074.4
