,name,BTC+ETH_pairs,Top_fiat_pairs,BTC_pairs,ETH_pairs,USD_pairs,USDT_pairs,CK.USDT_pairs,EUR_pairs,CNY_pairs,JPY_pairs,KRW_pairs
0,Bitcoin,0.0,81.98000000000003,0.0,0.0,32.71,43.41000000000001,0.38,0.6900000000000002,0.65,3.67,0.47
1,Litecoin,47.41000000000002,49.64999999999999,46.24000000000002,1.1700000000000002,6.57,38.4,1.45,1.2900000000000003,1.77,0.0,0.17
2,Namecoin,65.68,30.72,65.68,0.0,30.72,0.0,0.0,0.0,0.0,0.0,0.0
3,Terracoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Peercoin,52.230000000000004,47.76,52.230000000000004,0.0,18.06,29.52,0.0,0.18,0.0,0.0,0.0
5,Novacoin,78.25,21.75,78.25,0.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0
6,Feathercoin,44.879999999999995,55.120000000000005,44.879999999999995,0.0,0.0,0.0,0.0,1.81,53.31,0.0,0.0
7,Mincoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Freicoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Ixcoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BitBar,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,WorldCoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Digitalcoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GoldCoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Argentum,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Fastcoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bitgem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Phoenixcoin,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Megacoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Infinitecoin,83.08,16.92,83.08,0.0,0.0,16.92,0.0,0.0,0.0,0.0,0.0
