Rank,Symbol,Name,BTC Price,USD Price,MarketCap,Vol/Mcap,ATH,USD Vol24h,BTC Vol24h,Ch24h,Ch7d,Events,URL,Crypto pairs,Top CryptoMarkets,Fiat pairs,Top FiatMarkets,BTC,ETH,USD,USDT,CK.USDT,EUR,CNY,JPY,KRW,CircSupply,TotalSupply,MaxSupply
1,BTC,Bitcoin,1.00000000,"8,192.980","140,723.24",4.45%,-59.14%,"6,267,870,000","765,029.33",0.00,0.0,8.0,https://coinmarketcal.com/coin/Bitcoin,0.00%,,82.68%,"BitForex BTC/USDT Vol: $4,087,939,188 - 34.52%  ||  BitMEX BTC/USD Vol: $3,259,907,364 - 27.53%  ||  Binance BTC/USDT Vol: $238,363,567 - 2.01%  ||  Quoine BTC/JPY Vol: $193,096,183 - 1.63%  ||  OKEx BTC/USDT Vol: $186,300,499 - 1.57%  ||  CoinBene BTC/USDT Vol: $163,312,716 - 1.38%  ||  CoinEx BTC/USDT Vol: $145,649,405 - 1.23%  ||  Bitfinex BTC/USD Vol: $130,142,935 - 1.1%  ||  Huobi BTC/USDT Vol: $106,393,608 - 0.9%  ||  Coinsuper BTC/USD Vol: $75,851,590 - 0.64%  ||  ",0.00%,0.00%,31.90%,44.78%,0.31%,0.60%,0.68%,3.96%,0.45%,17.18,17.18,21.00
2,ETH,Ethereum,0.05703041,467.249,"47,178.80",22.37%,-67.04%,"10,554,700,000","1,288,261.41",-2.29,-9.13,4.0,https://coinmarketcal.com/coin/Ethereum,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,100.97,100.97,nan
3,XRP,XRP,0.00005534,0.453,"17,826.48",0.98%,-88.19%,"175,198,000","21,383.92",-2.30,-9.88,1.0,https://coinmarketcal.com/coin/XRP,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"39,315.68","99,991.90","100,000.00"
4,BCH,Bitcoin Cash,0.10000146,819.310,"14,142.68",4.01%,-80.53%,"567,426,000","69,257.58",-0.52,-5.56,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,17.26,17.26,21.00
5,EOS,EOS,0.00101659,8.329,"7,463.92",12.10%,-63.10%,"903,184,000","110,238.77",-1.10,-6.5,1.0,https://coinmarketcal.com/coin/EOS,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,896.15,900.00,"1,000.00"
6,XLM,Stellar,0.00003886,0.318,"5,974.72",1.58%,-68.11%,"94,255,800","11,504.46",1.32,1.27,5.0,https://coinmarketcal.com/coin/Stellar,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"18,767.43","104,144.92",nan
7,LTC,Litecoin,0.01027067,84.147,"4,847.27",10.03%,-76.54%,"486,084,000","59,329.33",-1.71,-9.51,2.0,https://coinmarketcal.com/coin/Litecoin,47.37%,"OKEx LTC/BTC Vol: $40,875,991 - 10.48%  ||  DOBI trade LTC/BTC Vol: $22,203,185 - 5.69%  ||  RightBTC LTC/BTC Vol: $16,140,529 - 4.14%  ||  Coinsuper LTC/BTC Vol: $14,944,073 - 3.83%  ||  BCEX LTC/BTC Vol: $14,780,976 - 3.79%  ||  YoBit LTC/BTC Vol: $10,171,002 - 2.61%  ||  Binance LTC/BTC Vol: $10,155,684 - 2.6%  ||  Bit-Z LTC/BTC Vol: $7,807,453 - 2.0%  ||  Huobi LTC/BTC Vol: $5,940,723 - 1.52%  ||  TOPBTC LTC/BTC Vol: $4,706,620 - 1.21%  ||  ",49.90%,"CoinBene LTC/USDT Vol: $90,121,938 - 23.1%  ||  OKEx LTC/USDT Vol: $27,638,530 - 7.08%  ||  Binance LTC/USDT Vol: $10,191,285 - 2.61%  ||  Huobi LTC/USDT Vol: $7,967,369 - 2.04%  ||  HitBTC LTC/USDT Vol: $6,651,785 - 1.7%  ||  TOPBTC LTC/CNY Vol: $6,227,863 - 1.6%  ||  Coinbase Pro LTC/USD Vol: $5,985,178 - 1.53%  ||  BCEX LTC/CKUSD Vol: $5,367,064 - 1.38%  ||  CoinsBank LTC/USD Vol: $4,574,639 - 1.17%  ||  BitForex LTC/USDT Vol: $4,022,096 - 1.03%  ||  ",46.31%,1.06%,5.46%,39.97%,1.38%,1.18%,1.72%,0.00%,0.19%,57.60,57.60,84.00
8,ADA,Cardano,0.00001997,0.164,"4,242.89",1.99%,-87.11%,"84,450,500","10,307.67",-1.12,-10.7,5.0,https://coinmarketcal.com/coin/Cardano,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"25,927.07","31,112.48","45,000.00"
9,MIOTA,IOTA,0.00012331,1.010,"2,808.19",1.40%,-82.86%,"39,376,700","4,806.15",-0.62,-8.96,1.0,https://coinmarketcal.com/coin/IOTA,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"2,779.53","2,779.53","2,779.53"
10,USDT,Tether,0.00012201,1.000,"2,506.21",488.75%,-17.62%,"12,249,100,000","1,495,072.61",-3.48,-10.13,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"2,507.14","3,080.11",nan
11,TRX,TRON,0.00000444,0.036,"2,391.42",8.58%,-87.50%,"205,295,000","25,057.43",-1.82,-7.85,2.0,https://coinmarketcal.com/coin/TRON,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"65,748.11","99,000.00",nan
12,XMR,Monero,0.01713235,140.365,"2,283.01",1.21%,-71.71%,"27,695,200","3,380.36",-0.69,-2.89,1.0,https://coinmarketcal.com/coin/Monero,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,16.26,16.26,nan
13,NEO,NEO,0.00406399,33.296,"2,164.25",3.38%,-82.86%,"73,140,900","8,927.26",-1.85,-11.3,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,65.00,100.00,100.00
14,DASH,Dash,0.02955091,242.110,"1,990.06",5.89%,-84.81%,"117,123,000","14,295.53",-2.28,-11.42,1.0,https://coinmarketcal.com/coin/Dash,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,8.22,8.22,18.90
15,ETC,Ethereum Classic,0.00206270,16.900,"1,746.77",8.66%,-65.37%,"151,206,000","18,455.56",-1.11,-7.09,5.0,https://coinmarketcal.com/coin/Ethereum-Classic,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,103.36,103.36,nan
16,XEM,NEM,0.00002130,0.175,"1,570.59",0.70%,-91.56%,"10,981,700","1,340.38",-2.25,-7.83,2.0,https://coinmarketcal.com/coin/NEM,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"9,000.00","9,000.00",nan
17,BNB,Binance Coin,0.00179269,14.688,"1,402.84",5.96%,-51.20%,"83,632,300","10,207.80",3.48,9.26,1.0,https://coinmarketcal.com/coin/Binance-Coin,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,95.51,192.44,nan
18,VEN,VeChain,0.00030572,2.505,"1,388.99",0.23%,-79.84%,"3,178,300",387.93,2.52,24.89,1.0,https://coinmarketcal.com/coin/VeChain,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,554.55,873.38,nan
19,XTZ,Tezos,0.00025301,2.073,"1,259.25",0.16%,-82.34%,"2,065,580",252.12,-3.34,-12.8,1.0,https://coinmarketcal.com/coin/Tezos,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,607.49,763.31,nan
20,ZEC,Zcash,0.02669932,218.747,973.74,12.83%,-77.20%,"124,966,000","15,252.81",-2.02,5.09,1.0,https://coinmarketcal.com/coin/Zcash,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,4.45,4.45,nan
21,OMG,OmiseGO,0.00084655,6.936,972.71,3.86%,-75.10%,"37,550,100","4,583.20",-2.31,-10.42,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,140.25,140.25,nan
22,QTUM,Qtum,0.00095331,7.810,692.51,42.30%,-92.39%,"292,953,000","35,756.59",-2.06,-10.4,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,88.66,100.66,nan
23,ZRX,0x,0.00014705,1.205,646.85,13.44%,-55.96%,"86,904,600","10,607.20",8.26,-4.05,2.0,https://coinmarketcal.com/coin/0x,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,536.90,"1,000.00",nan
24,ZIL,Zilliqa,0.00000948,0.078,588.38,4.53%,-69.23%,"26,682,000","3,256.69",4.21,-4.22,2.0,https://coinmarketcal.com/coin/Zilliqa,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"7,576.55","12,600.00",nan
25,BCN,Bytecoin,0.00000038,0.003,564.91,0.76%,-89.86%,"4,267,580",520.88,-0.40,-12.81,2.0,https://coinmarketcal.com/coin/Bytecoin,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"183,890.48","183,890.48","184,470.00"
26,BTG,Bitcoin Gold,0.00377982,30.968,531.02,2.15%,-93.82%,"11,426,000","1,394.61",3.43,-2.42,,,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,17.15,17.25,21.00
27,LSK,Lisk,0.00059493,4.874,528.63,1.40%,-87.41%,"7,412,680",904.76,-2.11,-11.46,1.0,https://coinmarketcal.com/coin/Lisk,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,108.45,123.70,nan
29,BTS,BitShares,0.00002411,0.198,522.58,2.92%,-77.21%,"15,250,200","1,861.37",0.20,-12.92,2.0,https://coinmarketcal.com/coin/BitShares,nan%,,nan%,,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,"2,645.20","2,645.20","3,600.57"
