,Exchange,Coin,Pair,Volume
0,Binance,0x,ZRX/BTC,3650156
1,Bittrex,2give,2GIVE/BTC,6200
2,Okex,Ace (tokenstars),ACE/BTC,194978
3,Okex,Achain,ACT/BTC,318448
4,Okex,Acute angle cloud,AAC/BTC,230931
5,Kucoin,Adbank,ADB/BTC,19358
6,Binance,Adex,ADX/BTC,739077
7,Hitbtc,Adhive,ADH/BTC,35430
8,Bittrex,Adtoken,ADT/BTC,13949
9,Okex,Aelf,ELF/BTC,1536770
10,Bittrex,Aeon,AEON/BTC,5163
11,Binance,Aeron,ARN/BTC,810864
12,Binance,Aeternity,AE/BTC,303979
13,Binance,Agrello,DLT/BTC,102745
14,Okex,Ai doctor,AIDOC/BTC,299
15,Bittrex,Aidcoin,AID/BTC,98092
16,Kucoin,Aigang,AIX/BTC,19580
17,Binance,Aion,AION/BTC,542663
18,Okex,Airbloc,ABL/BTC,124958
19,Binance,Airswap,AST/BTC,86935
20,Hitbtc,Airtoken,AIR/BTC,717
21,Okex,All sports,SOC/BTC,210034
22,Hitbtc,Alphacat,ACAT/BTC,43043
23,Binance,Ambrosus,AMB/BTC,220732
24,Hitbtc,Animation vision cash,AVH/BTC,1
25,Kucoin,Aphelion,APH/BTC,118912
26,Binance,Appcoins,APPC/BTC,93091
27,Bittrex,Aragon,ANT/BTC,10992
28,Hitbtc,Arbitragect,ARCT/BTC,123
29,Okex,Arcblock,ABT/BTC,129273
30,Hitbtc,Ardor,ARDR/BTC,593020
31,Binance,Ark,ARK/BTC,401375
32,Bittrex,Artbyte,ABY/BTC,2889
33,Okex,Asch,XAS/BTC,4398
34,Hitbtc,Atbcoin,ATB/BTC,0
35,Okex,Atlant,ATL/BTC,134
36,Hitbtc,Atmchain,ATM/BTC,7
37,Hitbtc,Auctus,AUC/BTC,623
38,Binance,Augur,REP/BTC,616080
39,Kucoin,Aurora,AOA/BTC,34017
40,Bittrex,Auroracoin,AUR/BTC,1717
41,Hitbtc,Authorship,ATS/BTC,36
42,Okex,Aventus,AVT/BTC,0
43,Kucoin,Axpire,AXPR/BTC,52154
44,Kucoin,Babb,BAX/BTC,9345
45,Hitbtc,Banca,BANCA/BTC,22117
46,Hitbtc,Bancor,BNT/BTC,48989
47,Hitbtc,Bankera,BNK/BTC,58763
48,Okex,Bankex,BKX/BTC,307819
49,Binance,Basic attention token,BAT/BTC,736573
50,Bittrex,Bean cash,BITB/BTC,60159
51,Hitbtc,Betterbetting,BETR/BTC,78
52,Hitbtc,Bezop,BEZ/BTC,6106
53,Binance,Binance coin,BNB/BTC,6150803
54,Bittrex,Bitbay,BAY/BTC,20168
55,Hitbtc,Bitclave,CAT/BTC,2118
56,Hitbtc,Bitcoin cash,BCH/BTC,21587508
57,Binance,Bitcoin diamond,BCD/BTC,79755
