,Exchange,Coin,Pair,Volume
0,Okex,0x,ZRX/USDT,600469
1,Okex,Ace (tokenstars),ACE/USDT,157564
2,Okex,Achain,ACT/USDT,612841
3,Okex,Acute angle cloud,AAC/USDT,302979
4,Hitbtc,Adex,ADX/USDT,111
5,Okex,Aelf,ELF/USDT,862243
6,Okex,Aeternity,AE/USDT,104451
7,Okex,Ai doctor,AIDOC/USDT,1195
8,Okex,Airswap,AST/USDT,1169
9,Hitbtc,Airtoken,AIR/USDT,23737
10,Okex,All sports,SOC/USDT,495834
11,Hitbtc,Alphacat,ACAT/USDT,8593
12,Hitbtc,Ambrosus,AMB/USDT,11
13,Hitbtc,Animation vision cash,AVH/USDT,0
14,Hitbtc,Appcoins,APPC/USDT,0
15,Bitfinex,Aragon,ANT/USD,506
16,Hitbtc,Arbitragect,ARCT/USDT,121
17,Okex,Arcblock,ABT/USDT,171066
18,Hitbtc,Ardor,ARDR/USDT,120
19,Okex,Ark,ARK/USDT,1045
20,Okex,Asch,XAS/USDT,255500
21,Hitbtc,Atbcoin,ATB/USDT,146
22,Okex,Atlant,ATL/USDT,3
23,Hitbtc,Atmchain,ATM/USDT,29
24,Poloniex,Augur,REP/USDT,73913
25,Okex,Aventus,AVT/USDT,1422
26,Hitbtc,Banca,BANCA/USDT,9454
27,Hitbtc,Bancor,BNT/USDT,297072
28,Hitbtc,Bankera,BNK/USDT,5134
29,Okex,Bankex,BKX/USDT,78595
30,Hitbtc,Betterbetting,BETR/USDT,0
31,Hitbtc,Bezop,BEZ/USDT,2570
32,Binance,Binance coin,BNB/USDT,7307467
33,Hitbtc,Bitclave,CAT/USDT,207
34,Binance,Bitcoin,BTC/USDT,302557767
35,Okex,Bitcoin cash,BCH/USDT,33563623
36,Okex,Bitcoin diamond,BCD/USDT,94363
37,Bitfinex,Bitcoin gold,BTG/USD,625119
38,Bitfinex,Bitcoin interest,BCI/USD,1482
39,Hitbtc,Bitcoin private,BTCP/USDT,1746
40,Hitbtc,Bitcore,BTX/USDT,205
41,Hitbtc,Bitjob,STU/USDT,3
42,Okex,Bitkan,KAN/USDT,199019
43,Hitbtc,Bitstation,BSTN/USDT,3886
44,Hitbtc,Blackmoon,BMC/USDT,80484
45,Hitbtc,Blockmason credit protocol,BCPT/USDT,0
46,Okex,Blockv,VEE/USDT,3244
47,Hitbtc,Blox,CDT/USDT,1
48,Okex,Bread,BRD/USDT,0
49,Hitbtc,Budbo,BUBO/USDT,96
50,Hitbtc,Bytecoin,BCN/USDT,490495
51,Okex,Bytom,BTM/USDT,843036
52,Binance,Cardano,ADA/USDT,12308284
53,Hitbtc,Cashaa,CAS/USDT,126
54,Hitbtc,Cashbet coin,CBC/USDT,1084
55,Hitbtc,Chainium,CHX/USDT,0
56,Okex,Chainlink,LINK/USDT,6768
57,Okex,Change,CAG/USDT,0
58,Okex,Chatcoin,CHAT/USDT,3978
59,Hitbtc,Chronologic,DAY/USDT,15
60,Hitbtc,Cindicator,CND/USDT,199
61,Okex,Civic,CVC/USDT,563799
62,Hitbtc,Cloud,CLD/USDT,2
63,Hitbtc,Coinlancer,CL/USDT,894
64,Okex,Commerceblock,CBT/USDT,617
65,Hitbtc,Consentium,CSM/USDT,2706
66,Okex,Content and ad network,CAN/USDT,1436861
67,Okex,Cortex,CTXC/USDT,364567
68,Kucoin,Credits,CS/USDT,2545
69,Hitbtc,Crowd machine,CMCT/USDT,2219
70,Hitbtc,Crypterium,CRPT/USDT,3280
71,Okex,Cube,AUTO/USDT,8971
72,Hitbtc,Cvcoin,CVCOIN/USDT,368
73,Okex,Cybermiles,CMT/USDT,183178
74,Okex,Cybervein,CVT/USDT,184434
75,Okex,Dadi,DADI/USDT,3338
76,Okex,Dash,DASH/USDT,5098076
77,Okex,Datum,DAT/USDT,58220
78,Hitbtc,Decentbet,DBET/USDT,672
79,Okex,Decentraland,MANA/USDT,537793
80,Bittrex,Decred,DCR/USDT,11194
81,Okex,Delphy,DPY/USDT,967702
82,Okex,Dent,DENT/USDT,43593
83,Hitbtc,Dentacoin,DCN/USDT,15879
84,Bittrex,Digibyte,DGB/USDT,55365
85,Hitbtc,Digitalnote,XDN/USDT,456606
86,Okex,Digixdao,DGD/USDT,11423
87,Hitbtc,Dimcoin,DIM/USDT,23018
88,Okex,District0x,DNT/USDT,0
89,Hitbtc,Dogecoin,DOGE/USDT,699605
90,Hitbtc,Domraider,DRT/USDT,3
91,Hitbtc,Dorado,DOR/USDT,48555
92,Kucoin,Dragonchain,DRGN/USDT,11564
93,Hitbtc,Dws,DWS/USDT,39
94,Hitbtc,Ebitcoin,EBTCNEW/USDT,107
95,Hitbtc,Echolink,EKO/USDT,416
96,Okex,Egretia,EGT/USDT,91124
