,Coin,Pair_tuple,Exchange
0,ZRX,BTC,Binance
1,2GIVE,BTC,Bittrex
2,ACE,BTC,Okex
3,ACT,USDT,Okex
4,AAC,USDT,Okex
5,ADB,BTC,Kucoin
6,ADX,BTC,Binance
7,ADH,BTC,Hitbtc
8,ADT,BTC,Bittrex
9,ELF,BTC,Okex
10,AEON,BTC,Bittrex
11,ARN,BTC,Binance
12,AE,BTC,Binance
13,DLT,BTC,Binance
14,AIDOC,USDT,Okex
15,AID,BTC,Bittrex
16,AIX,BTC,Kucoin
17,AION,BTC,Binance
18,ABL,BTC,Okex
19,AST,BTC,Binance
20,AIR,USDT,Hitbtc
21,SOC,USDT,Okex
22,ACAT,BTC,Hitbtc
23,AMB,BTC,Binance
24,AVH,BTC,Hitbtc
25,APH,BTC,Kucoin
26,APPC,BTC,Binance
27,ANT,BTC,Bittrex
28,ARCT,BTC,Hitbtc
29,ABT,USDT,Okex
30,ARDR,BTC,Hitbtc
31,ARK,BTC,Binance
32,ABY,BTC,Bittrex
33,XAS,USDT,Okex
34,ATB,USDT,Hitbtc
35,ATL,BTC,Okex
36,ATM,USDT,Hitbtc
37,AUC,BTC,Hitbtc
38,REP,BTC,Binance
39,AOA,BTC,Kucoin
40,AUR,BTC,Bittrex
41,ATS,BTC,Hitbtc
42,AVT,USDT,Okex
43,AXPR,BTC,Kucoin
44,BAX,BTC,Kucoin
45,BANCA,BTC,Hitbtc
46,BNT,USDT,Hitbtc
47,BNK,BTC,Hitbtc
48,BKX,BTC,Okex
49,BAT,BTC,Binance
50,BITB,BTC,Bittrex
51,BETR,BTC,Hitbtc
52,BEZ,BTC,Hitbtc
53,BNB,USDT,Binance
54,BAY,BTC,Bittrex
55,CAT,BTC,Hitbtc
56,BTC,USDT,Binance
57,BCH,USDT,Okex
58,BCD,USDT,Okex
59,BTG,BTC,Hitbtc
60,BCI,USD,Bitfinex
61,XBC,BTC,Poloniex
62,BTCP,BTC,Hitbtc
63,BTCD,BTC,Poloniex
64,BCX,BTC,Okex
65,BTX,USDT,Hitbtc
66,BCY,BTC,Bittrex
67,CSNO,BTC,Hitbtc
68,STU,BTC,Hitbtc
69,KAN,BTC,Okex
70,BTM,BTC,Poloniex
71,BSD,BTC,Bittrex
72,BTS,BTC,Binance
73,BSTN,BTC,Hitbtc
74,BITS,BTC,Bittrex
75,TUBE,BTC,Bittrex
76,BLK,BTC,Bittrex
77,BMC,USDT,Hitbtc
78,XBP,BTC,Hitbtc
79,ARY,BTC,Kucoin
80,BCPT,BTC,Binance
81,BMH,BTC,Hitbtc
82,BLOCK,BTC,Bittrex
83,BPT,BTC,Kucoin
84,TIX,BTC,Bittrex
85,VEE,BTC,Bittrex
86,BLT,BTC,Bittrex
87,CDT,BTC,Binance
88,BLZ,BTC,Binance
89,BOS,BTC,Kucoin
90,BNTY,BTC,Kucoin
91,BRD,BTC,Binance
92,BRK,BTC,Bittrex
93,BRX,BTC,Bittrex
94,BT2,BTC,Okex
95,BUBO,BTC,Hitbtc
96,BURST,BTC,Bittrex
97,GBYTE,BTC,Bittrex
98,BYC,BTC,Bittrex
99,BCN,BTC,Hitbtc
100,BTM,USDT,Okex
101,CANN,BTC,Bittrex
102,CAN,BTC,Kucoin
103,CAPP,BTC,Kucoin
104,ADA,USDT,Binance
105,CXO,BTC,Kucoin
106,CTX,BTC,Hitbtc
107,CV,BTC,Kucoin
108,CAS,BTC,Hitbtc
109,CBC,BTC,Kucoin
110,CENNZ,BTC,Hitbtc
111,CHX,BTC,Hitbtc
112,LINK,BTC,Binance
113,CAG,BTC,Kucoin
114,CHAT,BTC,Binance
115,TIME,BTC,Kucoin
116,DAY,BTC,Hitbtc
117,CND,BTC,Binance
118,COVAL,BTC,Bittrex
119,CVC,BTC,Binance
120,CLAM,BTC,Poloniex
121,XCLR,BTC,Hitbtc
122,POLL,BTC,Kucoin
123,CLOAK,BTC,Binance
124,CLD,USDT,Hitbtc
125,CFI,BTC,Bittrex
126,COFI,BTC,Kucoin
127,CL,BTC,Hitbtc
128,CHP,BTC,Kucoin
129,COIN,BTC,Hitbtc
130,CLN,BTC,Hitbtc
131,CBT,USDT,Okex
132,CSM,BTC,Hitbtc
133,DAG,BTC,Kucoin
134,CAN,USDT,Okex
135,CPY,BTC,Hitbtc
136,CTXC,USDT,Okex
137,COSM,BTC,Hitbtc
138,COSS,BTC,Hitbtc
139,XCP,BTC,Bittrex
140,COV,BTC,Kucoin
141,CPC,BTC,Kucoin
142,CRB,BTC,Bittrex
143,CS,BTC,Kucoin
144,CMCT,BTC,Bittrex
145,CRW,BTC,Bittrex
146,CPT,BTC,Hitbtc
147,CRPT,BTC,Hitbtc
148,C20,BTC,Hitbtc
149,CNX,BTC,Hitbtc
150,PING,BTC,Hitbtc
151,AUTO,BTC,Okex
152,CURE,BTC,Bittrex
153,CVCOIN,USDT,Hitbtc
154,CMT,BTC,Binance
155,CVT,USDT,Okex
156,DACC,BTC,Kucoin
157,DADI,BTC,Okex
158,DAN,BTC,Hitbtc
159,DASH,USDT,Okex
160,DSH,BTC,Hitbtc
161,DTA,BTC,Kucoin
162,DTB,BTC,Bittrex
163,DAT,USDT,Okex
164,DATX,BTC,Kucoin
165,DRPU,BTC,Hitbtc
166,DEB,BTC,Kucoin
167,DCT,BTC,Bittrex
168,DBET,BTC,Hitbtc
169,MANA,BTC,Okex
170,HST,BTC,Kucoin
171,DCR,BTC,Bittrex
172,DBC,BTC,Kucoin
173,ONION,BTC,Kucoin
174,DPY,USDT,Okex
175,DENT,BTC,Binance
176,DCN,BTC,Hitbtc
177,DMD,BTC,Bittrex
178,DGB,BTC,Bittrex
179,XDN,BTC,Hitbtc
180,DGD,BTC,Binance
181,DIM,USDT,Hitbtc
182,DPN,BTC,Hitbtc
183,DCC,BTC,Kucoin
184,DNT,BTC,Binance
185,DMT,BTC,Bittrex
186,DOCK,BTC,Binance
187,DOGE,USDT,Hitbtc
188,DRT,BTC,Hitbtc
189,DOPE,BTC,Bittrex
190,DOR,USDT,Hitbtc
191,DOV,BTC,Hitbtc
192,DRG,BTC,Hitbtc
193,DRGN,BTC,Kucoin
194,DBIX,BTC,Hitbtc
195,DWS,BTC,Hitbtc
196,DYN,BTC,Bittrex
197,EFL,BTC,Bittrex
198,EBTC,BTC,Kucoin
199,EBST,BTC,Bittrex
200,EKO,USDT,Hitbtc
201,EDG,BTC,Hitbtc
202,EGT,USDT,Okex
203,EDO,BTC,Binance
