,Pair,Exchange
0,ZRX/BTC,Binance
1,2GIVE/BTC,Bittrex
2,ACE/BTC,Okex
3,ACT/BTC,Okex
4,AAC/BTC,Okex
5,ADB/BTC,Kucoin
6,ADX/BTC,Binance
7,ADH/BTC,Hitbtc
8,ADT/BTC,Bittrex
9,ELF/BTC,Okex
10,AEON/BTC,Bittrex
11,ARN/BTC,Binance
12,AE/BTC,Binance
13,DLT/BTC,Binance
14,AIDOC/BTC,Okex
15,AID/BTC,Bittrex
16,AIX/BTC,Kucoin
17,AION/BTC,Binance
18,ABL/BTC,Okex
19,AST/BTC,Binance
20,AIR/BTC,Hitbtc
21,SOC/BTC,Okex
22,ACAT/BTC,Hitbtc
23,AMB/BTC,Binance
24,AVH/BTC,Hitbtc
25,APH/BTC,Kucoin
26,APPC/BTC,Binance
27,ANT/BTC,Bittrex
28,ARCT/BTC,Hitbtc
29,ABT/BTC,Okex
30,ARDR/BTC,Hitbtc
31,ARK/BTC,Binance
32,ABY/BTC,Bittrex
33,XAS/BTC,Okex
34,ATB/BTC,Hitbtc
35,ATL/BTC,Okex
36,ATM/BTC,Hitbtc
37,AUC/BTC,Hitbtc
38,REP/BTC,Binance
39,AOA/BTC,Kucoin
40,AUR/BTC,Bittrex
41,ATS/BTC,Hitbtc
42,AVT/BTC,Okex
43,AXPR/BTC,Kucoin
44,BAX/BTC,Kucoin
45,BANCA/BTC,Hitbtc
46,BNT/BTC,Hitbtc
47,BNK/BTC,Hitbtc
48,BKX/BTC,Okex
49,BAT/BTC,Binance
50,BITB/BTC,Bittrex
51,BETR/BTC,Hitbtc
52,BEZ/BTC,Hitbtc
53,BNB/BTC,Binance
54,BAY/BTC,Bittrex
55,CAT/BTC,Hitbtc
56,BCH/BTC,Hitbtc
57,BCD/BTC,Binance
58,BTG/BTC,Hitbtc
59,BCI/BTC,Bitfinex
60,XBC/BTC,Poloniex
61,BTCP/BTC,Hitbtc
62,BTCD/BTC,Poloniex
63,BCX/BTC,Okex
64,BTX/BTC,Hitbtc
65,BCY/BTC,Bittrex
66,CSNO/BTC,Hitbtc
67,STU/BTC,Hitbtc
68,KAN/BTC,Okex
69,BTM/BTC,Poloniex
70,BSD/BTC,Bittrex
71,BTS/BTC,Binance
72,BSTN/BTC,Hitbtc
73,BITS/BTC,Bittrex
74,TUBE/BTC,Bittrex
75,BLK/BTC,Bittrex
76,BMC/BTC,Hitbtc
77,XBP/BTC,Hitbtc
78,ARY/BTC,Kucoin
79,BCPT/BTC,Binance
80,BMH/BTC,Hitbtc
81,BLOCK/BTC,Bittrex
82,BPT/BTC,Kucoin
83,TIX/BTC,Bittrex
84,VEE/BTC,Bittrex
85,BLT/BTC,Bittrex
86,CDT/BTC,Binance
87,BLZ/BTC,Binance
88,BOS/BTC,Kucoin
89,BNTY/BTC,Kucoin
90,BRD/BTC,Binance
91,BRK/BTC,Bittrex
92,BRX/BTC,Bittrex
93,BT2/BTC,Okex
94,BUBO/BTC,Hitbtc
95,BURST/BTC,Bittrex
96,GBYTE/BTC,Bittrex
97,BYC/BTC,Bittrex
98,BCN/BTC,Hitbtc
99,BTM/BTC,Okex
100,CANN/BTC,Bittrex
101,CAN/BTC,Kucoin
102,CAPP/BTC,Kucoin
103,ADA/BTC,Binance
104,CXO/BTC,Kucoin
105,CTX/BTC,Hitbtc
106,CV/BTC,Kucoin
107,CAS/BTC,Hitbtc
108,CBC/BTC,Kucoin
109,CENNZ/BTC,Hitbtc
110,CHX/BTC,Hitbtc
111,LINK/BTC,Binance
112,CAG/BTC,Kucoin
113,CHAT/BTC,Binance
114,TIME/BTC,Kucoin
115,DAY/BTC,Hitbtc
116,CND/BTC,Binance
117,COVAL/BTC,Bittrex
118,CVC/BTC,Binance
119,CLAM/BTC,Poloniex
120,XCLR/BTC,Hitbtc
121,POLL/BTC,Kucoin
122,CLOAK/BTC,Binance
123,CFI/BTC,Bittrex
124,COFI/BTC,Kucoin
125,CL/BTC,Hitbtc
126,CHP/BTC,Kucoin
127,COIN/BTC,Hitbtc
128,CLN/BTC,Hitbtc
129,CBT/BTC,Okex
130,CSM/BTC,Hitbtc
131,DAG/BTC,Kucoin
132,CAN/BTC,Okex
133,CPY/BTC,Hitbtc
134,CTXC/BTC,Okex
135,COSM/BTC,Hitbtc
136,COSS/BTC,Hitbtc
137,XCP/BTC,Bittrex
138,COV/BTC,Kucoin
139,CPC/BTC,Kucoin
140,CRB/BTC,Bittrex
141,CS/BTC,Kucoin
142,CMCT/BTC,Bittrex
143,CRW/BTC,Bittrex
144,CPT/BTC,Hitbtc
145,CRPT/BTC,Hitbtc
146,C20/BTC,Hitbtc
147,CNX/BTC,Hitbtc
148,PING/BTC,Hitbtc
149,AUTO/BTC,Okex
150,CURE/BTC,Bittrex
151,CVCOIN/BTC,Hitbtc
152,CMT/BTC,Binance
153,CVT/BTC,Okex
154,DACC/BTC,Kucoin
155,DADI/BTC,Okex
156,DAN/BTC,Hitbtc
157,DASH/BTC,Hitbtc
158,DSH/BTC,Hitbtc
159,DTA/BTC,Kucoin
160,DTB/BTC,Bittrex
161,DAT/BTC,Kucoin
162,DATX/BTC,Kucoin
163,DRPU/BTC,Hitbtc
164,DEB/BTC,Kucoin
165,DCT/BTC,Bittrex
166,DBET/BTC,Hitbtc
167,MANA/BTC,Okex
168,HST/BTC,Kucoin
169,DCR/BTC,Bittrex
170,DBC/BTC,Kucoin
171,ONION/BTC,Kucoin
172,DPY/BTC,Okex
173,DENT/BTC,Binance
174,DCN/BTC,Hitbtc
175,DMD/BTC,Bittrex
176,DGB/BTC,Bittrex
177,XDN/BTC,Hitbtc
178,DGD/BTC,Binance
179,DIM/BTC,Hitbtc
180,DPN/BTC,Hitbtc
181,DCC/BTC,Kucoin
182,DNT/BTC,Binance
183,DMT/BTC,Bittrex
184,DOCK/BTC,Binance
185,DOGE/BTC,Poloniex
186,DRT/BTC,Hitbtc
187,DOPE/BTC,Bittrex
188,DOR/BTC,Hitbtc
189,DOV/BTC,Hitbtc
190,DRG/BTC,Hitbtc
191,DRGN/BTC,Kucoin
192,DBIX/BTC,Hitbtc
193,DWS/BTC,Hitbtc
194,DYN/BTC,Bittrex
195,EFL/BTC,Bittrex
196,EBTC/BTC,Kucoin
197,EBST/BTC,Bittrex
198,EKO/BTC,Hitbtc
199,EDG/BTC,Hitbtc
200,EGT/BTC,Okex
201,EDO/BTC,Binance
202,EMC2/BTC,Bittrex
203,EJOY/BTC,Hitbtc
