,Exchange,Coin,Pair,Volume
0,Binance,0x,ZRX/BTC,"3,650,156"
1,Bittrex,2give,2GIVE/BTC,"6,200"
2,Okex,Ace (tokenstars),ACE/BTC,"194,978"
3,Okex,Achain,ACT/USDT,"612,841"
4,Okex,Acute angle cloud,AAC/USDT,"302,979"
5,Kucoin,Adbank,ADB/BTC,"19,358"
6,Binance,Adex,ADX/BTC,"739,077"
7,Hitbtc,Adhive,ADH/BTC,"35,430"
8,Bittrex,Adtoken,ADT/BTC,"13,949"
9,Okex,Aelf,ELF/BTC,"1,536,770"
10,Bittrex,Aeon,AEON/BTC,"5,163"
11,Binance,Aeron,ARN/BTC,"810,864"
12,Binance,Aeternity,AE/BTC,"303,979"
13,Binance,Agrello,DLT/BTC,"102,745"
14,Okex,Ai doctor,AIDOC/USDT,"1,195"
15,Bittrex,Aidcoin,AID/BTC,"98,092"
16,Kucoin,Aigang,AIX/BTC,"19,580"
17,Binance,Aion,AION/BTC,"542,663"
18,Okex,Airbloc,ABL/BTC,"124,958"
19,Binance,Airswap,AST/BTC,"86,935"
20,Hitbtc,Airtoken,AIR/USDT,"23,737"
21,Okex,All sports,SOC/USDT,"495,834"
22,Hitbtc,Alphacat,ACAT/BTC,"43,043"
23,Binance,Ambrosus,AMB/BTC,"220,732"
24,Hitbtc,Animation vision cash,AVH/BTC,1
25,Kucoin,Aphelion,APH/BTC,"118,912"
26,Binance,Appcoins,APPC/BTC,"93,091"
27,Bittrex,Aragon,ANT/BTC,"10,992"
28,Hitbtc,Arbitragect,ARCT/BTC,123
29,Okex,Arcblock,ABT/USDT,"171,066"
30,Hitbtc,Ardor,ARDR/BTC,"593,020"
31,Binance,Ark,ARK/BTC,"401,375"
32,Bittrex,Artbyte,ABY/BTC,"2,889"
33,Okex,Asch,XAS/USDT,"255,500"
34,Hitbtc,Atbcoin,ATB/USDT,146
35,Okex,Atlant,ATL/BTC,134
36,Hitbtc,Atmchain,ATM/USDT,29
37,Hitbtc,Auctus,AUC/BTC,623
38,Binance,Augur,REP/BTC,"616,080"
39,Kucoin,Aurora,AOA/BTC,"34,017"
40,Bittrex,Auroracoin,AUR/BTC,"1,717"
41,Hitbtc,Authorship,ATS/BTC,36
42,Okex,Aventus,AVT/USDT,"1,422"
43,Kucoin,Axpire,AXPR/BTC,"52,154"
44,Kucoin,Babb,BAX/BTC,"9,345"
45,Hitbtc,Banca,BANCA/BTC,"22,117"
46,Hitbtc,Bancor,BNT/USDT,"297,072"
47,Hitbtc,Bankera,BNK/BTC,"58,763"
48,Okex,Bankex,BKX/BTC,"307,819"
49,Binance,Basic attention token,BAT/BTC,"736,573"
50,Bittrex,Bean cash,BITB/BTC,"60,159"
51,Hitbtc,Betterbetting,BETR/BTC,78
52,Hitbtc,Bezop,BEZ/BTC,"6,106"
