,name,ATH_retrace_USD
0,Bitcoin,-59.14%
1,Ethereum,-67.04%
2,XRP,-88.19%
3,Bitcoin Cash,-80.53%
4,EOS,-63.10%
5,Stellar,-68.11%
6,Litecoin,-76.54%
7,Cardano,-87.11%
8,IOTA,-82.86%
9,Tether,-17.62%
10,TRON,-87.50%
11,Monero,-71.71%
12,NEO,-82.86%
13,Dash,-84.81%
14,Ethereum Classic,-65.37%
15,NEM,-91.56%
16,Tezos,-82.34%
17,Binance Coin,-51.20%
18,VeChain,-79.84%
19,OmiseGO,-75.10%
20,Zcash,-77.20%
21,Qtum,-92.39%
22,0x,-55.96%
23,Bytecoin,-89.86%
24,BitShares,-77.21%
25,Decred,-52.33%
26,Bitcoin Gold,-93.82%
27,Zilliqa,-69.23%
28,Lisk,-87.41%
29,DigiByte,-66.48%
30,ICON,-89.77%
31,Ontology,-70.84%
32,Aeternity,-66.58%
33,Maker,-64.24%
34,Dogecoin,-81.02%
35,Siacoin,-90.50%
36,Steem,-83.46%
37,Bytom,-68.87%
38,Verge,-92.23%
39,Basic Attention Token,-64.71%
40,Bitcoin Diamond,-97.09%
41,Augur,-75.30%
42,Nano,-93.88%
43,Mithril,-45.79%
44,Golem,-75.88%
45,Waves,-85.08%
46,Stratis,-88.08%
47,RChain,-76.70%
48,Pundi X,-81.17%
49,Hshare,-85.85%
50,Status,-89.49%
51,KuCoin Shares,-87.14%
52,Waltonchain,-87.40%
53,Wanchain,-79.54%
54,Populous,-92.39%
55,MaidSafeCoin,-60.63%
56,IOST,-76.15%
57,Mixin,-78.91%
58,DigixDAO,-83.76%
59,GXChain,-71.35%
60,Ardor,-92.87%
61,Bitcoin Private,-88.90%
62,Huobi Token,-44.47%
63,Komodo,-90.12%
64,MOAC,-75.16%
65,aelf,-76.68%
66,Loopring,-89.18%
67,Aion,-92.76%
68,Nebulas,-79.80%
69,Kin,-86.67%
70,Cryptonex,-70.87%
71,MonaCoin,-89.03%
72,Decentraland,-55.75%
73,Emercoin,-69.70%
74,ZenCash,-54.35%
75,ReddCoin,-85.94%
76,FunFair,-86.69%
77,Ark,-88.60%
78,Monaco,-74.49%
79,Dentacoin,-95.36%
80,Power Ledger,-83.39%
81,WAX,-95.32%
82,Kyber Network,-84.82%
83,Holo,-53.42%
84,Dropil,-31.67%
85,MCO,-72.44%
86,Bancor,-78.48%
87,Loom Network,-75.18%
88,Nxt,-95.03%
89,Gas,-89.18%
90,Paypex,-69.49%
91,CyberMiles,-75.66%
92,PIVX,-87.61%
93,Nuls,-70.49%
94,TenX,-98.75%
95,Polymath,-79.03%
96,Electroneum,-94.45%
97,Byteball Bytes,-88.00%
98,Veritaseum,-91.53%
99,SmartCash,-97.45%
100,QASH,-89.44%
101,Theta Token,-55.91%
102,Bibox Token,-78.83%
103,Syscoin,-82.91%
104,Elastos,-82.07%
105,Enigma,-85.59%
106,Metaverse ETP,-69.89%
107,ZCoin,-90.41%
108,Gifto,-84.72%
109,Ethos,-91.19%
110,Nexus,-91.13%
111,SALT,-92.86%
112,Factom,-89.48%
113,Cortex,-77.80%
114,Substratum,-93.69%
115,Storm,-92.93%
116,Centrality,-81.75%
117,ODEM,-14.72%
118,WaykiChain,-86.00%
119,Game.com,-79.88%
120,Scry.info,-55.56%
121,ChainLink,-85.91%
122,Dragonchain,-94.35%
123,TrueUSD,-27.05%
124,High Performance Blockchain,-77.89%
125,CyberVein,-38.92%
