Rank,Symbol,Name,MarketCap USD,Volume24h USD,Vol/Mcap,HMA
1,BTC,Bitcoin,"141,066,626,602.00","6,957,480,000.00",4.93%,
7,LTC,Litecoin,"5,048,165,785.00","419,044,000.00",8.30%,-100.00%
266,NMC,Namecoin,"23,546,704.00","313,895.00",1.33%,-100.00%
769,TRC,Terracoin,"2,170,881.00","5,612.65",0.26%,-100.00%
154,PPC,Peercoin,"47,840,629.00","857,831.00",1.79%,-100.00%
480,NVC,Novacoin,"8,473,159.00","74,428.20",0.88%,-100.00%
314,FTC,Feathercoin,"18,405,705.00","139,655.00",0.76%,-100.00%
1261,MNC,Mincoin,"115,313.00",131.63,0.11%,-100.00%
845,IXC,Ixcoin,"1,354,213.00",842.88,0.06%,-100.00%
1162,BTB,BitBar,"331,679.00",62.43,0.02%,-100.00%
1086,WDC,WorldCoin,"983,226.00",214.60,0.02%,-100.00%
826,DGC,Digitalcoin,"1,481,992.00","2,177.52",0.15%,-100.00%
701,GLD,GoldCoin,"2,993,483.00","7,988.48",0.27%,-100.00%
901,ARG,Argentum,"820,181.00","1,412.68",0.17%,-100.00%
1131,FST,Fastcoin,"477,265.00",123.72,0.03%,-100.00%
1183,BTG,Bitgem,"256,963.00",391.57,0.15%,-100.00%
990,PXC,Phoenixcoin,"319,015.00",947.36,0.30%,-100.00%
1134,MEC,Megacoin,"453,313.00",18.79,0.00%,-100.00%
201,XPM,Primecoin,"34,509,589.00","626,728.00",1.82%,-100.00%
733,ANC,Anoncoin,"2,551,690.00","1,818.25",0.07%,1357.79%
214,CSC,CasinoCoin,"32,110,116.00","49,260.70",0.15%,-100.00%
729,CBX,Bullion,"2,625,194.00",619.34,0.02%,29.32%
1195,EMD,Emerald Crypto,"234,156.00",60.00,0.03%,-19.64%
3,XRP,XRP,"17,786,493,836.00","307,500,000.00",1.73%,-100.00%
1066,QRK,Quark,"2,041,545.00",127.00,0.01%,-100.00%
951,ZET,Zetacoin,"525,532.00","77,721.80",14.79%,-100.00%
1001,SRC,SecureCoin,"244,510.00",736.79,0.30%,41.07%
793,SXC,Sexcoin,"1,931,792.00","1,649.57",0.09%,-100.00%
1157,TAG,TagCoin,"345,897.00",80.39,0.02%,-100.00%
1077,I0C,I0Coin,"1,311,519.00",338.76,0.03%,-100.00%
494,FLO,FlorinCoin,"7,820,175.00","19,697.90",0.25%,-100.00%
90,NXT,Nxt,"105,533,355.00","3,002,660.00",2.85%,-100.00%
216,UNO,Unobtanium,"31,770,627.00","24,071.00",0.08%,-100.00%
1151,XJO,Joulecoin,"360,736.00",41.91,0.01%,-100.00%
1108,DEM,Deutsche eMark,"667,449.00",496.57,0.07%,-100.00%
35,DOGE,Dogecoin,"411,486,503.00","9,691,850.00",2.36%,3.80%
1115,NET,NetCoin,"582,350.00",106.06,0.02%,-100.00%
1198,PHS,Philosopher Stones,"228,416.00",10.09,0.00%,-100.00%
452,DMD,Diamond,"9,685,935.00","48,554.90",0.50%,-100.00%
1127,HBN,HoboNickels,"500,987.00",9.74,0.00%,-100.00%
1166,TGC,Tigercoin,"307,788.00",60.10,0.02%,-100.00%
1097,ORB,Orbitcoin,"802,194.00",60.97,0.01%,-100.00%
518,OMNI,Omni,"7,059,708.00","31,081.90",0.44%,-100.00%
1299,CAT,Catcoin,"77,249.00",15.18,0.02%,1.01%
773,TIPS,FedoraCoin,"2,134,395.00","7,358.05",0.34%,11.84%
1266,RPC,RonPaulCoin,"111,989.00",79.57,0.07%,-100.00%
354,MOON,Mooncoin,"14,667,245.00","1,557.49",0.01%,-100.00%
399,DIME,Dimecoin,"11,999,754.00","10,791.00",0.09%,-100.00%
887,42,42-coin,"971,489.00",767.50,0.08%,-100.00%
160,VTC,Vertcoin,"46,348,526.00","750,155.00",1.62%,42.89%
1304,RED,RedCoin,"67,012.00",74.33,0.11%,-100.00%
30,DGB,DigiByte,"506,962,197.00","9,937,510.00",1.96%,-4.73%
1188,SMC,SmartCoin,"251,313.00",44.58,0.02%,-100.00%
839,TES,TeslaCoin,"1,393,207.00","1,156.97",0.08%,-100.00%
1080,NOBL,NobleCoin,"1,150,593.00",61.22,0.01%,-100.00%
74,RDD,ReddCoin,"133,627,488.00","4,871,040.00",3.65%,-100.00%
1141,NYAN,Nyancoin,"423,505.00",162.59,0.04%,-0.39%
993,UTC,UltraCoin,"294,561.00","7,923.24",2.69%,69.52%
