,circulating_supply,id,last_updated,max_supply,name,quotes,rank,symbol,total_supply,website_slug,BTC.market_cap,BTC.percent_change_1h,BTC.percent_change_24h,BTC.percent_change_7d,BTC.price,BTC.volume_24h,USD.market_cap,USD.percent_change_1h,USD.percent_change_24h,USD.percent_change_7d,USD.price,USD.volume_24h
0,17168575.0,1,1532464644,21000000.0,Bitcoin,"{'USD': {'price': 8216.56, 'volume_24h': 6957480000.0, 'market_cap': 141066626602.0, 'percent_change_1h': -0.39, 'percent_change_24h': 6.12, 'percent_change_7d': 14.49}, 'BTC': {'price': 1.0, 'volume_24h': 846763.1222798836, 'market_cap': 17168575.0, 'percent_change_1h': 0, 'percent_change_24h': 0, 'percent_change_7d': 0}}",1,BTC,17168575.0,bitcoin,17168575.0,0.0,0.0,0.0,1.0,846763.1222798836,141066626602.0,-0.39,6.12,14.49,8216.56,6957480000.0
1,57551057.0,2,1532464629,84000000.0,Litecoin,"{'USD': {'price': 87.7163, 'volume_24h': 419044000.0, 'market_cap': 5048165785.0, 'percent_change_1h': -0.2, 'percent_change_24h': 5.34, 'percent_change_7d': -0.47}, 'BTC': {'price': 0.0106755504, 'volume_24h': 50999.931844957, 'market_cap': 614389.0, 'percent_change_1h': 0.2, 'percent_change_24h': -0.73, 'percent_change_7d': -13.07}}",7,LTC,57551057.0,litecoin,614389.0,0.2,-0.73,-13.07,0.0106755504,50999.931844957,5048165785.0,-0.2,5.34,-0.47,87.7163,419044000.0
2,14736400.0,3,1532464686,,Namecoin,"{'USD': {'price': 1.59786, 'volume_24h': 313895.0, 'market_cap': 23546704.0, 'percent_change_1h': -7.95, 'percent_change_24h': -12.55, 'percent_change_7d': 6.19}, 'BTC': {'price': 0.0001944682, 'volume_24h': 38.2027271754, 'market_cap': 2866.0, 'percent_change_1h': -7.59, 'percent_change_24h': -17.59, 'percent_change_7d': -7.25}}",266,NMC,14736400.0,namecoin,2866.0,-7.59,-17.59,-7.25,0.0001944682,38.2027271754,23546704.0,-7.95,-12.55,6.19,1.59786,313895.0
3,22935396.0,4,1532464687,42000000.0,Terracoin,"{'USD': {'price': 0.094652, 'volume_24h': 5612.65, 'market_cap': 2170881.0, 'percent_change_1h': -0.29, 'percent_change_24h': 3.73, 'percent_change_7d': -8.02}, 'BTC': {'price': 1.15197e-05, 'volume_24h': 0.6830900036, 'market_cap': 264.0, 'percent_change_1h': 0.11, 'percent_change_24h': -2.25, 'percent_change_7d': -19.66}}",769,TRC,22935396.0,terracoin,264.0,0.11,-2.25,-19.66,1.15197e-05,0.6830900036,2170881.0,-0.29,3.73,-8.02,0.094652,5612.65
4,24863512.0,5,1532464688,,Peercoin,"{'USD': {'price': 1.92413, 'volume_24h': 857831.0, 'market_cap': 47840629.0, 'percent_change_1h': -2.41, 'percent_change_24h': -2.44, 'percent_change_7d': 23.8}, 'BTC': {'price': 0.0002341771, 'volume_24h': 104.4026940715, 'market_cap': 5822.0, 'percent_change_1h': -2.02, 'percent_change_24h': -8.06, 'percent_change_7d': 8.13}}",154,PPC,24863512.0,peercoin,5822.0,-2.02,-8.06,8.13,0.0002341771,104.4026940715,47840629.0,-2.41,-2.44,23.8,1.92413,857831.0
5,2133572.0,6,1532464688,,Novacoin,"{'USD': {'price': 3.97135, 'volume_24h': 74428.2, 'market_cap': 8473159.0, 'percent_change_1h': 0.02, 'percent_change_24h': 6.64, 'percent_change_7d': 16.92}, 'BTC': {'price': 0.0004833349, 'volume_24h': 9.0583163757, 'market_cap': 1031.0, 'percent_change_1h': 0.42, 'percent_change_24h': 0.49, 'percent_change_7d': 2.12}}",480,NVC,2133572.0,novacoin,1031.0,0.42,0.49,2.12,0.0004833349,9.0583163757,8473159.0,0.02,6.64,16.92,3.97135,74428.2
6,207582360.0,8,1532464686,336000000.0,Feathercoin,"{'USD': {'price': 0.088667, 'volume_24h': 139655.0, 'market_cap': 18405705.0, 'percent_change_1h': 0.01, 'percent_change_24h': 2.38, 'percent_change_7d': 0.69}, 'BTC': {'price': 1.07913e-05, 'volume_24h': 16.9967723719, 'market_cap': 2240.0, 'percent_change_1h': 0.41, 'percent_change_24h': -3.52, 'percent_change_7d': -12.05}}",314,FTC,207582360.0,feathercoin,2240.0,0.41,-3.52,-12.05,1.07913e-05,16.9967723719,18405705.0,0.01,2.38,0.69,0.088667,139655.0
7,4673843.0,9,1532464688,,Mincoin,"{'USD': {'price': 0.024672, 'volume_24h': 131.634, 'market_cap': 115313.0, 'percent_change_1h': -0.07, 'percent_change_24h': -8.34, 'percent_change_7d': 10.04}, 'BTC': {'price': 3.0027e-06, 'volume_24h': 0.0160205731, 'market_cap': 14.0, 'percent_change_1h': 0.33, 'percent_change_24h': -13.62, 'percent_change_7d': -3.89}}",1261,MNC,4673843.0,mincoin,14.0,0.33,-13.62,-3.89,3.0027e-06,0.0160205731,115313.0,-0.07,-8.34,10.04,0.024672,131.634
8,31170812.0,10,1532456288,,Freicoin,"{'USD': {'price': 0.0063141, 'volume_24h': None, 'market_cap': 196816.0, 'percent_change_1h': None, 'percent_change_24h': 5.98, 'percent_change_7d': 9.83}, 'BTC': {'price': 7.685e-07, 'volume_24h': None, 'market_cap': 24.0, 'percent_change_1h': None, 'percent_change_24h': -0.13, 'percent_change_7d': -4.07}}",1212,FRC,100000000.0,freicoin,24.0,,-0.13,-4.07,7.685e-07,,196816.0,,5.98,9.83,0.0063141,
9,21008614.0,13,1532464630,,Ixcoin,"{'USD': {'price': 0.0644599, 'volume_24h': 842.881, 'market_cap': 1354213.0, 'percent_change_1h': -0.94, 'percent_change_24h': -0.11, 'percent_change_7d': -14.37}, 'BTC': {'price': 7.8451e-06, 'volume_24h': 0.1025831978, 'market_cap': 165.0, 'percent_change_1h': -0.55, 'percent_change_24h': -5.87, 'percent_change_7d': -25.21}}",845,IXC,21008614.0,ixcoin,165.0,-0.55,-5.87,-25.21,7.8451e-06,0.1025831978,1354213.0,-0.94,-0.11,-14.37,0.0644599,842.881
10,38063.0,14,1532464628,,BitBar,"{'USD': {'price': 8.71395, 'volume_24h': 62.4283, 'market_cap': 331679.0, 'percent_change_1h': -0.3, 'percent_change_24h': 0.03, 'percent_change_7d': -7.99}, 'BTC': {'price': 0.0010605351, 'volume_24h': 0.0075978633, 'market_cap': 40.0, 'percent_change_1h': 0.1, 'percent_change_24h': -5.74, 'percent_change_7d': -19.64}}",1162,BTB,38063.0,bitbar,40.0,0.1,-5.74,-19.64,0.0010605351,0.0075978633,331679.0,-0.3,0.03,-7.99,8.71395,62.4283
11,119606941.0,16,1532464631,,WorldCoin,"{'USD': {'price': 0.00822048, 'volume_24h': 214.596, 'market_cap': 983226.0, 'percent_change_1h': -0.3, 'percent_change_24h': 5.19, 'percent_change_7d': 7.58}, 'BTC': {'price': 1.0005e-06, 'volume_24h': 0.0261174993, 'market_cap': 120.0, 'percent_change_1h': 0.1, 'percent_change_24h': -0.87, 'percent_change_7d': -6.04}}",1086,WDC,119606941.0,worldcoin,120.0,0.1,-0.87,-6.04,1.0005e-06,0.0261174993,983226.0,-0.3,5.19,7.58,0.00822048,214.596
12,29675748.0,18,1532464630,48166000.0,Digitalcoin,"{'USD': {'price': 0.0499395, 'volume_24h': 2177.52, 'market_cap': 1481992.0, 'percent_change_1h': 0.19, 'percent_change_24h': 26.45, 'percent_change_7d': -4.85}, 'BTC': {'price': 6.0779e-06, 'volume_24h': 0.2650160164, 'market_cap': 180.0, 'percent_change_1h': 0.59, 'percent_change_24h': 19.16, 'percent_change_7d': -16.89}}",826,DGC,29675748.0,digitalcoin,180.0,0.59,19.16,-16.89,6.0779e-06,0.2650160164,1481992.0,0.19,26.45,-4.85,0.0499395,2177.52
13,41165812.0,25,1532464688,72245700.0,GoldCoin,"{'USD': {'price': 0.0727177, 'volume_24h': 7988.48, 'market_cap': 2993483.0, 'percent_change_1h': -5.04, 'percent_change_24h': 4.44, 'percent_change_7d': -0.34}, 'BTC': {'price': 8.8501e-06, 'volume_24h': 0.9722414246, 'market_cap': 364.0, 'percent_change_1h': -4.66, 'percent_change_24h': -1.58, 'percent_change_7d': -12.95}}",701,GLD,41165812.0,goldcoin,364.0,-4.66,-1.58,-12.95,8.8501e-06,0.9722414246,2993483.0,-5.04,4.44,-0.34,0.0727177,7988.48
14,9888301.0,31,1532464628,,Argentum,"{'USD': {'price': 0.0829446, 'volume_24h': 1412.68, 'market_cap': 820181.0, 'percent_change_1h': -0.45, 'percent_change_24h': 5.42, 'percent_change_7d': -20.36}, 'BTC': {'price': 1.00948e-05, 'volume_24h': 0.1719308324, 'market_cap': 100.0, 'percent_change_1h': -0.06, 'percent_change_24h': -0.66, 'percent_change_7d': -30.44}}",901,ARG,9888301.0,argentum,100.0,-0.06,-0.66,-30.44,1.00948e-05,0.1719308324,820181.0,-0.45,5.42,-20.36,0.0829446,1412.68
15,156913424.0,32,1532464630,165888000.0,Fastcoin,"{'USD': {'price': 0.00304158, 'volume_24h': 123.72, 'market_cap': 477265.0, 'percent_change_1h': -0.3, 'percent_change_24h': 22.84, 'percent_change_7d': 40.0}, 'BTC': {'price': 3.702e-07, 'volume_24h': 0.0150573963, 'market_cap': 58.0, 'percent_change_1h': 0.1, 'percent_change_24h': 15.76, 'percent_change_7d': 22.28}}",1131,FST,156913424.0,fastcoin,58.0,0.1,15.76,22.28,3.702e-07,0.0150573963,477265.0,-0.3,22.84,40.0,0.00304158,123.72
